Year,Inflation,US Stock Market,US Large Cap,US Large Cap Value,US Large Cap Growth,US Mid Cap,US Mid Cap Value,US Mid Cap Growth,US Small Cap,US Small Cap Value,US Small Cap Growth,US Micro Cap,Global ex-US Stock Market,Intl Developed ex-US Market,International ex-US Small Cap,International ex-US Value,European Stocks,Pacific Stocks,Emerging Markets,Cash,Short Term Treasury,Intermediate Term Treasury,10-year Treasury,Long Term Treasury,Total US Bond Market,TIPS,Global Bonds (Unhedged),Global Bonds (USD Hedged),Short-Term Investment Grade,Corporate Bonds,Long-Term Corporate Bonds,High Yield Corporate Bonds,Short-Term Tax-Exempt,Intermediate-Term Tax-Exempt,Long-Term Tax-Exempt,REIT,Gold,Precious Metals,Commodities
1972,0.0341,0.17620000000000002,0.1895,0.1532,0.2297,0.0802,0.11939999999999999,0.0429,0.0866,0.1115,0.0636,0.0101,,,,,,,,0.041299999999999996,,0.027200000000000002,0.0235,,,,,,,,,,,,,,0.4902,,
1973,0.08710000000000001,-0.1818,-0.1618,-0.09789999999999999,-0.2309,-0.242,-0.1377,-0.3296,-0.3285,-0.2412,-0.40259999999999996,-0.3986,,,,,,,,0.0717,,0.0447,0.0329,,,,,,,,,,,,,,0.7295999999999999,,
1974,0.1234,-0.2781,-0.2693,-0.2113,-0.3234,-0.2634,-0.198,-0.3264,-0.2759,-0.2109,-0.3372,-0.24559999999999998,,,,,,,,0.0814,,0.057,0.0405,,,,,,,,-0.0227,,,,,,0.6615000000000001,,
1975,0.0694,0.3782,0.36950000000000005,0.4067,0.331,0.4869,0.5679,0.41950000000000004,0.5513,0.5394,0.5663,0.6755,,,,,,,,0.060899999999999996,,0.0736,0.0552,,,,,,,,0.09949999999999999,,,,,,-0.248,,
1976,0.048600000000000004,0.2647,0.2418,0.3332,0.1485,0.3667,0.4679,0.26539999999999997,0.4533,0.5478000000000001,0.364,0.4927,,,,,,,,0.0519,,0.1375,0.15289999999999998,,,,,,,,0.1535,,,,,,-0.040999999999999995,,
1977,0.067,-0.0336,-0.0784,-0.0331,-0.0866,0.013000000000000001,0.0524,-0.0212,0.1567,0.1588,0.1536,0.29309999999999997,,,,,,,,0.053399999999999996,0.0291,0.0104,0.0053,,,,,,,,0.049800000000000004,,,,,,0.22640000000000002,,
1978,0.0902,0.08449999999999999,0.0587,0.0637,0.0711,0.0897,0.09050000000000001,0.08800000000000001,0.17739999999999997,0.1925,0.166,0.28809999999999997,,,,,,,,0.0745,0.0335,0.0115,-0.0074,-0.0155,,,,,,,0.020499999999999997,,0.0231,-0.04650000000000001,0.0593,,0.3701,,
1979,0.1329,0.2425,0.1805,0.2322,0.1744,0.3148,0.2984,0.3307,0.4102,0.37799999999999995,0.4521,0.4692,,,,,,,,0.10490000000000001,0.0808,0.0535,0.0183,-0.021,,,,,,,-0.0077,0.0557,0.0478,-0.0158,-0.0297,,1.2655,,
1980,0.1252,0.33149999999999996,0.31920000000000004,0.3175,0.35590000000000005,0.30760000000000004,0.17600000000000002,0.4525,0.3578,0.2577,0.4632,0.4143,,,,,,,,0.1215,0.08810000000000001,0.0288,-0.0129,-0.0499,,,,,,,0.0466,0.0316,0.053,-0.1035,-0.16,,0.1519,,
1981,0.0892,-0.0415,-0.0521,-0.0148,-0.062,0.040999999999999995,0.102,-0.0174,0.0436,0.15689999999999998,-0.0582,-0.033,,,,,,,,0.15289999999999998,0.1426,0.0941,0.0528,0.006500000000000001,,,,,,,0.0855,0.0929,0.083,-0.07400000000000001,-0.1115,,-0.326,,
1982,0.0383,0.205,0.2097,0.25079999999999997,0.20329999999999998,0.2521,0.29359999999999997,0.2052,0.2927,0.36869999999999997,0.2236,0.2791,,,,,,,,0.11449999999999999,0.2212,0.31129999999999997,0.3957,0.47100000000000003,,,,,,,0.2868,0.2709,0.1015,0.3107,0.3856,,0.1494,,
1983,0.0379,0.2266,0.21289999999999998,0.2544,0.16920000000000002,0.2711,0.32689999999999997,0.2232,0.3164,0.4261,0.2054,0.397,,,,,,,,0.09029999999999999,0.08,0.052199999999999996,0.023,-0.0129,,,,,0.0911,,0.0698,0.15869999999999998,0.0506,0.06480000000000001,0.0949,,-0.1631,,
1984,0.0395,0.0219,0.0621,0.1143,0.015600000000000001,-0.0174,0.0254,-0.057,-0.0426,0.056900000000000006,-0.1351,-0.06509999999999999,,,,,,,,0.1017,0.1401,0.1501,0.1487,0.1624,,,,,0.1423,,0.1467,0.0774,0.068,0.0953,0.0855,,-0.1938,,
1985,0.038,0.3127,0.3123,0.3293,0.3357,0.32789999999999997,0.3231,0.33130000000000004,0.337,0.3746,0.31170000000000003,0.244,,,,,,,,0.0788,0.1383,0.2224,0.2985,0.369,,,,,0.149,,0.21660000000000001,0.21989999999999998,0.0695,0.17329999999999998,0.2077,,0.06,-0.050300000000000004,
1986,0.011000000000000001,0.1457,0.18059999999999998,0.19699999999999998,0.1696,0.17120000000000002,0.1813,0.16010000000000002,0.0977,0.1399,0.0571,0.069,0.6338,0.6338,,,0.4096,0.838,,0.06280000000000001,0.1035,0.151,0.21350000000000002,0.30870000000000003,,,,,0.1142,,0.1434,0.1686,0.0739,0.16210000000000002,0.1938,,0.18960000000000002,0.4988,
1987,0.0443,0.026099999999999998,0.0471,0.021099999999999997,0.0644,0.0084,-0.0098,0.0264,-0.0642,-0.0351,-0.091,-0.09359999999999999,0.3048,0.3048,,,0.0706,0.4355,,0.0593,0.0478,0.0155,-0.0264,-0.0292,0.0154,,,,0.044500000000000005,,0.002,0.0265,0.041100000000000005,0.016399999999999998,-0.0425,,0.24530000000000002,0.3873,
